# Voltage vs time V(t), example data 2, Exercise 2.
#     Time in seconds, voltage in millivolts.
#     Columns: t, mV(t)
0.00000, 542.00000
0.01000, 542.70000
0.02000, 542.00000
0.03000, 541.60000
0.04000, 542.10000
0.05000, 542.40000
0.06000, 541.70000
0.07000, 541.60000
0.08000, 542.80000
0.09000, 541.80000
0.10000, 542.10000
0.11000, 542.10000
0.12000, 542.40000
0.13000, 542.10000
0.14000, 541.80000
0.15000, 541.70000
0.16000, 543.00000
0.17000, 543.50000
0.18000, 542.10000
0.19000, 541.70000
0.20000, 542.30000
0.21000, 541.80000
0.22000, 542.10000
0.23000, 542.20000
0.24000, 542.70000
0.25000, 543.00000
0.26000, 542.90000
0.27000, 541.90000
0.28000, 542.50000
0.29000, 542.70000
0.30000, 542.80000
0.31000, 542.90000
0.32000, 544.10000
0.33000, 542.80000
0.34000, 542.70000
0.35000, 542.70000
0.36000, 543.30000
0.37000, 543.30000
0.38000, 543.90000
0.39000, 543.40000
0.40000, 543.30000
0.41000, 542.90000
0.42000, 542.70000
0.43000, 542.00000
0.44000, 542.10000
0.45000, 542.00000
0.46000, 541.40000
0.47000, 542.30000
0.48000, 541.70000
0.49000, 541.60000
0.50000, 541.90000
0.51000, 542.00000
0.52000, 542.20000
0.53000, 542.00000
0.54000, 541.50000
0.55000, 542.90000
0.56000, 542.40000
0.57000, 541.90000
0.58000, 541.80000
0.59000, 541.80000
0.60000, 541.90000
0.61000, 541.70000
0.62000, 542.10000
0.63000, 542.00000
0.64000, 542.40000
0.65000, 541.80000
0.66000, 541.60000
0.67000, 542.30000
0.68000, 541.70000
0.69000, 541.90000
0.70000, 542.30000
0.71000, 542.10000
0.72000, 542.10000
0.73000, 541.80000
0.74000, 542.20000
0.75000, 542.00000
0.76000, 541.60000
0.77000, 543.10000
0.78000, 541.90000
0.79000, 542.70000
0.80000, 542.00000
0.81000, 542.30000
0.82000, 542.00000
0.83000, 542.00000
0.84000, 542.00000
0.85000, 542.30000
0.86000, 542.20000
0.87000, 542.10000
0.88000, 542.50000
0.89000, 542.90000
0.90000, 543.50000
0.91000, 542.90000
0.92000, 543.10000
0.93000, 542.40000
0.94000, 543.60000
0.95000, 543.20000
0.96000, 543.40000
0.97000, 543.40000
0.98000, 542.60000
0.99000, 542.20000
1.00000, 541.40000
1.01000, 541.80000
1.02000, 542.10000
1.03000, 543.10000
1.04000, 542.70000
1.05000, 543.50000
1.06000, 542.20000
1.07000, 542.60000
1.08000, 543.20000
1.09000, 541.50000
1.10000, 543.10000
1.11000, 543.20000
1.12000, 543.30000
1.13000, 542.20000
