# Voltage vs time V(t), example data 2, exercise 2.
# Voltage in Volts, time in seconds.
# Colums: t, V(t)
0.00000, 1.00276
0.00500, -0.31377
0.01000, -0.86086
0.01500, 0.28710
0.02000, 1.02824
0.02500, -0.07472
0.03000, -0.99300
0.03500, 0.13006
0.04000, 1.09193
0.04500, 0.03893
0.05000, -0.90505
0.05500, -0.05118
0.06000, 1.03446
0.06500, 0.19908
0.07000, -0.95385
0.07500, -0.19683
0.08000, 0.98096
0.08500, 0.43294
0.09000, -0.86716
0.09500, -0.32209
0.10000, 0.93224
0.10500, 0.53530
0.11000, -0.80743
0.11500, -0.48250
0.12000, 0.80637
0.12500, 0.70624
0.13000, -0.65354
0.13500, -0.68941
0.14000, 0.71714
0.14500, 0.83003
0.15000, -0.61138
0.15500, -0.75476
0.16000, 0.59545
0.16500, 0.94924
0.17000, -0.46101
0.17500, -0.85526
0.18000, 0.47155
0.18500, 0.98462
0.19000, -0.31627
0.19500, -0.91023
0.20000, 0.34833
0.20500, 1.06612
0.21000, -0.11876
0.21500, -0.92672
0.22000, 0.11741
0.22500, 1.02862
0.23000, 0.02375
0.23500, -0.92663
0.24000, -0.01041
0.24500, 1.09252
0.25000, 0.22185
0.25500, -0.88592
0.26000, -0.21354
0.26500, 0.99178
0.27000, 0.40680
0.27500, -0.86898
0.28000, -0.38532
0.28500, 0.93096
0.29000, 0.51146
0.29500, -0.75968
0.30000, -0.50618
0.30500, 0.82954
0.31000, 0.63615
0.31500, -0.74646
0.32000, -0.58797
0.32500, 0.75947
0.33000, 0.80283
0.33500, -0.58407
0.34000, -0.72565
0.34500, 0.64733
0.35000, 0.89302
0.35500, -0.46130
0.36000, -0.79125
0.36500, 0.51212
0.37000, 0.98992
0.37500, -0.30705
0.38000, -0.86668
0.38500, 0.34902
0.39000, 0.98605
0.39500, -0.14755
0.40000, -0.91200
0.40500, 0.16524
0.41000, 1.03252
0.41500, 0.06642
0.42000, -0.97999
0.42500, -0.04728
0.43000, 1.01350
0.43500, 0.21404
0.44000, -0.92676
0.44500, -0.20385
0.45000, 1.03648
0.45500, 0.37242
0.46000, -0.89682
0.46500, -0.31987
0.47000, 0.96161
0.47500, 0.56308
0.48000, -0.76516
0.48500, -0.48015
0.49000, 0.88536
0.49500, 0.64090
