# Voltage vs time V(t), example data 2, exercise 2.
# Voltage in Volts, time in seconds.
# Colums: t, V(t)
0.00000, 1.00276
0.00050, 1.05041
0.00100, 0.93492
0.00150, 0.50228
0.00200, 0.10485
0.00250, -0.33637
0.00300, -0.75999
0.00350, -0.96333
0.00400, -0.92182
0.00450, -0.64382
0.00500, -0.31377
0.00550, 0.19197
0.00600, 0.62490
0.00650, 0.96654
0.00700, 1.04676
0.00750, 0.93528
0.00800, 0.61247
0.00850, 0.15292
0.00900, -0.29356
0.00950, -0.63834
0.01000, -0.86086
0.01050, -0.90587
0.01100, -0.76127
0.01150, -0.36602
0.01200, 0.08489
0.01250, 0.51068
0.01300, 0.85737
0.01350, 1.00876
0.01400, 0.93406
0.01450, 0.68522
0.01500, 0.28710
0.01550, -0.20629
0.01600, -0.63234
0.01650, -0.92437
0.01700, -0.95101
0.01750, -0.78005
0.01800, -0.47528
0.01850, -0.02430
0.01900, 0.49175
0.01950, 0.82043
0.02000, 1.02824
0.02050, 0.97895
0.02100, 0.73377
0.02150, 0.37143
0.02200, -0.03371
0.02250, -0.51198
0.02300, -0.79297
0.02350, -0.90002
0.02400, -0.87146
0.02450, -0.56596
0.02500, -0.07472
0.02550, 0.38036
0.02600, 0.76813
0.02650, 1.00884
0.02700, 1.04187
0.02750, 0.85408
0.02800, 0.44699
0.02850, 0.05778
0.02900, -0.40982
0.02950, -0.79910
0.03000, -0.99300
0.03050, -0.90407
0.03100, -0.58681
0.03150, -0.16105
0.03200, 0.28027
0.03250, 0.72657
0.03300, 0.92208
0.03350, 1.00433
0.03400, 0.86039
0.03450, 0.52856
0.03500, 0.13006
0.03550, -0.38282
0.03600, -0.69592
0.03650, -0.96891
0.03700, -0.90894
0.03750, -0.67000
0.03800, -0.30059
0.03850, 0.18309
0.03900, 0.56343
0.03950, 0.88966
0.04000, 1.09193
0.04050, 0.95297
0.04100, 0.67807
0.04150, 0.26426
0.04200, -0.21733
0.04250, -0.63887
0.04300, -0.93411
0.04350, -0.94445
0.04400, -0.77658
0.04450, -0.40927
0.04500, 0.03893
0.04550, 0.48553
0.04600, 0.85908
0.04650, 1.03099
0.04700, 1.03836
0.04750, 0.75064
0.04800, 0.28578
0.04850, -0.10440
0.04900, -0.57653
0.04950, -0.86728
0.05000, -0.90505
0.05050, -0.82324
0.05100, -0.49813
0.05150, -0.07665
0.05200, 0.41540
0.05250, 0.79882
0.05300, 1.04955
0.05350, 0.97310
0.05400, 0.82372
0.05450, 0.44023
0.05500, -0.05118
0.05550, -0.52968
0.05600, -0.78779
0.05650, -0.93568
0.05700, -0.88305
0.05750, -0.56899
0.05800, -0.14712
0.05850, 0.29731
0.05900, 0.68700
0.05950, 0.98891
0.06000, 1.03446
0.06050, 0.84595
0.06100, 0.55765
0.06150, 0.07846
0.06200, -0.36214
0.06250, -0.72284
0.06300, -0.92160
0.06350, -0.92740
0.06400, -0.65669
0.06450, -0.23446
0.06500, 0.19908
0.06550, 0.70527
0.06600, 0.91326
0.06650, 1.06134
0.06700, 0.91862
0.06750, 0.56292
0.06800, 0.18395
0.06850, -0.31837
0.06900, -0.68389
0.06950, -0.88323
0.07000, -0.95385
0.07050, -0.70389
0.07100, -0.30731
0.07150, 0.10195
0.07200, 0.55560
0.07250, 0.95330
0.07300, 1.02720
0.07350, 0.98585
0.07400, 0.72564
0.07450, 0.25964
0.07500, -0.19683
0.07550, -0.66837
0.07600, -0.90288
0.07650, -0.98028
0.07700, -0.77749
0.07750, -0.41679
0.07800, 0.02706
0.07850, 0.50341
0.07900, 0.84163
0.07950, 1.06262
0.08000, 0.98096
0.08050, 0.74304
0.08100, 0.39477
0.08150, -0.15738
0.08200, -0.56423
0.08250, -0.88426
0.08300, -0.93187
0.08350, -0.80817
0.08400, -0.49882
0.08450, -0.10985
0.08500, 0.43294
0.08550, 0.82027
0.08600, 1.04533
0.08650, 1.00071
0.08700, 0.84398
0.08750, 0.41969
0.08800, -0.00361
0.08850, -0.45093
0.08900, -0.79809
0.08950, -0.95703
0.09000, -0.86716
0.09050, -0.59453
0.09100, -0.22954
0.09150, 0.24742
0.09200, 0.70773
0.09250, 0.96385
0.09300, 1.07459
0.09350, 0.90355
0.09400, 0.52289
0.09450, 0.07580
0.09500, -0.32209
0.09550, -0.69699
0.09600, -0.97117
0.09650, -0.90877
0.09700, -0.66036
0.09750, -0.23913
0.09800, 0.19100
0.09850, 0.59034
0.09900, 0.91805
0.09950, 1.02176
0.10000, 0.93224
0.10050, 0.68313
0.10100, 0.16780
0.10150, -0.29685
0.10200, -0.70604
0.10250, -0.88343
0.10300, -0.94650
0.10350, -0.74601
0.10400, -0.40278
0.10450, 0.06063
0.10500, 0.53530
0.10550, 0.86643
0.10600, 0.99477
0.10650, 0.93520
0.10700, 0.69269
0.10750, 0.30798
0.10800, -0.17037
0.10850, -0.57233
0.10900, -0.87518
0.10950, -0.90157
0.11000, -0.80743
0.11050, -0.49132
0.11100, -0.04145
0.11150, 0.42908
0.11200, 0.82865
0.11250, 1.03510
0.11300, 0.98963
0.11350, 0.77527
0.11400, 0.43761
0.11450, -0.04456
0.11500, -0.48250
0.11550, -0.84817
0.11600, -0.99474
0.11650, -0.86930
0.11700, -0.52101
0.11750, -0.11105
0.11800, 0.37074
0.11850, 0.75650
0.11900, 0.97593
0.11950, 1.03547
0.12000, 0.80637
0.12050, 0.45706
0.12100, -0.01154
0.12150, -0.47105
0.12200, -0.77757
0.12250, -0.92088
0.12300, -0.90934
0.12350, -0.59787
0.12400, -0.20340
0.12450, 0.29321
0.12500, 0.70624
0.12550, 1.01403
0.12600, 1.04995
0.12650, 0.86797
0.12700, 0.62329
0.12750, 0.11373
0.12800, -0.38026
0.12850, -0.74652
0.12900, -0.90390
0.12950, -0.94814
