#t[s], y[V]
0.000, 3.3226874337628787
0.100, 3.9489032869700225
0.200, 3.656275437697411
0.300, 4.411208079658378
0.400, 6.11489731375659
0.500, 5.242413109384991
0.600, 7.757168227888494
0.700, 7.272807304194626
0.800, 8.567363761531332
0.900, 9.258101627498055
1.000, 10.402929503881593
1.100, 11.506548906259606
1.200, 13.711202575337134
1.300, 14.358343496018245
1.400, 16.749723193274203
1.500, 20.664033746905456
1.600, 21.638798806480974
1.700, 22.318625168074753
1.800, 26.317682403523822
1.900, 31.580955162082034
2.000, 32.86374688477271
2.100, 43.378223517668445
2.200, 46.43466377544144
2.300, 51.078440733400846
2.400, 62.692756790342024
2.500, 66.85305380512183
