#T[K], R[Ohm], DeltaR[Ohm]
10.000, 726.3420432254663, 0.01
15.000, 643.5354157662217, 36.52154379942324
20.000, 557.4893104990224, 15.877554032586824
25.000, 490.3421707371167, 32.683277858178506
30.000, 451.4199493122393, 7.88813467803551
35.000, 369.49368959144624, 24.013823716936518
40.000, 333.3166978416547, 10.372490298891583
45.000, 293.49793834922343, 22.652384805899015
50.000, 205.86691186959683, 35.482798590888535
55.000, 190.1814384297086, 7.826567764618759
60.000, 138.77629526119955, 21.813435142263213
65.000, 132.0464557082267, 18.418218541865087
70.000, 105.83733242014475, 25.45528234746783
75.000, 75.57235838373342, 20.796215299131955
80.000, 51.73798230445642, 11.143107845468794
85.000, 17.836656737912456, 5.822893480180266
90.000, 10.808369094483425, 1.0696496769606425
95.000, 0.1780980642361943, 3.2569051111095324
