"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.469232000E-2,1.660977490E-2,2.053776085E-1,9.730185509E0,9.732366921E0
1.721543200E-2,1.533785462E-2,2.005143911E-1,9.756446838E0,9.758519159E0
1.972690600E-2,5.835866556E-3,2.124854028E-1,9.748066902E0,9.750384220E0
2.226963100E-2,2.244564006E-3,2.172738016E-1,9.738490105E0,9.740913841E0
2.479144100E-2,1.054945122E-2,2.172738016E-1,9.750461578E0,9.752887787E0
2.731492000E-2,1.062426995E-2,2.064998895E-1,9.742081642E0,9.744275745E0
2.983758300E-2,5.686229095E-3,2.112134844E-1,9.763628960E0,9.765914905E0
3.236028900E-2,1.054945122E-2,2.064998895E-1,9.757643700E0,9.759834223E0
3.488340100E-2,1.174655184E-2,2.053027898E-1,9.754052162E0,9.756219596E0
3.738771400E-2,6.958148908E-3,2.100912035E-1,9.751658440E0,9.753923777E0
3.992974700E-2,1.294365339E-2,2.064998895E-1,9.752855301E0,9.755049783E0
4.243381600E-2,9.501988068E-3,1.969979107E-1,9.724200249E0,9.726200129E0
4.497621500E-2,-1.346738427E-3,1.981201917E-1,9.752780914E0,9.754793129E0
4.749920600E-2,1.069908869E-2,1.993921101E-1,9.725397110E0,9.727446768E0
5.002243900E-2,-6.135141943E-3,2.207902819E-1,9.740884781E0,9.743388646E0
5.254502200E-2,3.591302549E-3,2.245312333E-1,9.718214035E0,9.720808156E0
5.504966100E-2,9.427169338E-3,2.184709013E-1,9.732579231E0,9.735035537E0
5.759092100E-2,2.005143836E-2,1.910123974E-1,9.760038376E0,9.761927929E0
6.011444000E-2,-5.012859590E-3,2.064250708E-1,9.753977776E0,9.756163123E0
6.261777600E-2,-1.563712955E-2,2.195931822E-1,9.739612579E0,9.742100332E0
6.516094900E-2,3.366846126E-3,2.088192850E-1,9.760038376E0,9.762272580E0
6.768361400E-2,1.054945122E-2,2.124854028E-1,9.750461578E0,9.752782287E0
7.020623700E-2,-1.421557274E-3,1.957259923E-1,9.757569313E0,9.759532242E0
7.272987800E-2,1.660977490E-2,1.922095120E-1,9.739762306E0,9.741672863E0
7.523354000E-2,1.653495617E-2,2.220622003E-1,9.748142242E0,9.750685217E0
7.777569600E-2,1.301847212E-2,2.064998895E-1,9.744550705E0,9.746747156E0
8.029852200E-2,-5.012859590E-3,2.100163847E-1,9.763554573E0,9.765814350E0
8.282183800E-2,1.047463273E-3,2.232593149E-1,9.744475365E0,9.747032674E0
8.534482800E-2,1.182137057E-2,2.148796022E-1,9.737367630E0,9.739745446E0
8.784853100E-2,-5.012859590E-3,1.981201917E-1,9.756371498E0,9.758384167E0
9.039097000E-2,6.808510982E-3,2.136076838E-1,9.748216629E0,9.750559063E0
9.289495800E-2,9.127894416E-3,2.124105841E-1,9.760188103E0,9.762503438E0
9.543658400E-2,1.159691438E-2,2.100163847E-1,9.750611305E0,9.752879687E0
9.795981900E-2,1.399111655E-2,2.231844962E-1,9.742305756E0,9.744871908E0
1.004828890E-1,6.808510982E-3,2.243815958E-1,9.744625092E0,9.747210454E0
1.030060830E-1,6.808510982E-3,2.279728949E-1,9.745822906E0,9.748491274E0
1.055288700E-1,8.080430329E-3,2.088192850E-1,9.739836693E0,9.742078299E0
1.080520230E-1,-2.618658124E-3,2.100163847E-1,9.733851433E0,9.736117165E0
1.105752560E-1,9.202713147E-3,2.076221853E-1,9.750611305E0,9.752825872E0
1.130983690E-1,1.279401500E-2,2.148047835E-1,9.753005028E0,9.755378611E0
1.156211550E-1,5.611410365E-3,2.207902819E-1,9.751808167E0,9.754308912E0
1.181443070E-1,1.159691438E-2,2.231844962E-1,9.744625092E0,9.747187491E0
1.206387330E-1,1.623567939E-2,2.362777740E-1,9.768567085E0,9.771437647E0
1.231930950E-1,1.384147815E-2,2.267009765E-1,9.766173363E0,9.768814005E0
1.257132780E-1,5.536591634E-3,2.231096774E-1,9.763778687E0,9.766329035E0
1.282364710E-1,9.202713147E-3,2.028337717E-1,9.754201889E0,9.756314915E0
1.307594200E-1,1.997661963E-2,2.136076838E-1,9.749488831E0,9.751849043E0
1.332783410E-1,2.349310368E-2,2.183960825E-1,9.761384964E0,9.763856062E0
1.358054410E-1,8.080430329E-3,1.969230920E-1,9.744625092E0,9.746617986E0
1.383287150E-1,4.489128012E-3,2.029085904E-1,9.736246109E0,9.738361276E0
1.408517460E-1,-2.992752125E-4,2.160018831E-1,9.742231369E0,9.744625644E0
1.433744520E-1,9.726444259E-4,2.100912035E-1,9.719486237E0,9.721756629E0
1.458975640E-1,3.292027395E-3,2.064250708E-1,9.745822906E0,9.748009349E0
1.484208380E-1,-2.992752125E-4,2.160018831E-1,9.739836693E0,9.742231557E0
1.509438690E-1,-7.631517947E-3,2.290203571E-1,9.762507439E0,9.765196365E0
1.534671440E-1,1.399111655E-2,2.076970041E-1,9.744625092E0,9.746848310E0
1.559899710E-1,1.271919627E-2,2.052279711E-1,9.760188103E0,9.762353820E0
1.584943250E-1,1.032499503E-2,2.231096774E-1,9.756596565E0,9.759152682E0
1.610478320E-1,1.638531871E-2,2.100163847E-1,9.749413490E0,9.751689021E0
1.635590230E-1,-4.489128187E-4,2.147299647E-1,9.769689560E0,9.772049082E0
1.660822570E-1,2.094926499E-2,2.231096774E-1,9.780538559E0,9.783105402E0
1.686052460E-1,5.686229095E-3,1.981201917E-1,9.743428230E0,9.745443942E0
1.711280740E-1,-6.060323212E-3,2.208651006E-1,9.749114037E0,9.751617436E0
1.736513890E-1,7.032967638E-3,2.160767019E-1,9.758766174E0,9.761160579E0
1.761745420E-1,9.501988068E-3,1.981950104E-1,9.747992516E0,9.750011776E0
1.786687230E-1,-6.060323212E-3,2.076970041E-1,9.747917175E0,9.750131488E0
1.812206030E-1,-1.324292831E-2,2.243815958E-1,9.757493973E0,9.760082536E0
1.837436340E-1,1.548749208E-2,2.077718228E-1,9.749189377E0,9.751415410E0
